,Product_name,Product_Price,Reviews
0,Kechaoda A27,₹975,4
1,"REDMI Note 12 5G (Frosted Green, 128 GB)","₹16,999",4.1
2,"APPLE iPhone 12 (White, 64 GB)","₹42,999",4.6
3,"SAMSUNG Galaxy5 (Smoky Teal, 128 GB)","₹13,898",2.7
4,itel Ace2 Keypad Mobile| 1000 mAh Battery|Expandable Storage 32GB,₹898,4
5,"vivo V29 5G (Black, 128 GB)","₹31,990",4.5
6,"POCO M4 5G (Yellow, 128 GB)","₹11,999",4.2
7,"REDMI A2 (Sea Green, 32 GB)","₹5,799",4.1
8,"APPLE iPhone 15 (Black, 128 GB)","₹76,990",4.6
9,"REDMI A2 (Aqua Blue, 32 GB)","₹5,799",4.1
10,"vivo V29 5G (Red, 256 GB)","₹36,999",4.4
11,Kechaoda A26_black,₹975,4.1
12,Kechaoda A27,₹975,4
13,"REDMI Note 12 (Sunrise Gold, 128 GB)","₹13,999",4.1
14,"realme 11 Pro 5G (Oasis Green, 256 GB)","₹24,999",4.4
15,"Infinix Zero 30 5G (Fantasy Purple, 256 GB)","₹23,999",4.2
16,"OPPO A78 5G (Glowing Black, 128 GB)","₹18,999",4.3
17,"APPLE iPhone 15 (Blue, 128 GB)","₹76,990",4.6
18,DIZO Star 500,"₹1,899",3.9
19,itel Ace2 Keypad Mobile| 1000 mAh Battery|Expandable Storage 32GB,₹899,4
20,"OPPO A78 5G (Glowing Blue, 128 GB)","₹18,999",4.3
21,"Infinix Zero 30 5G (Fantasy Purple, 256 GB)","₹22,999",4.3
22,"realme 11 Pro 5G (Oasis Green, 128 GB)","₹22,999",4.4
23,Kechaoda A27,₹975,4
24,DIZO Star 500,"₹1,899",3.9
25,Micromax X512,"₹1,075",3.9
26,Micromax X512,₹992,3.9
27,"Nothing Phone (2) (White, 512 GB)","₹44,999",4.4
28,"OPPO A78 5G (Glowing Blue, 128 GB)","₹18,999",4.3
29,Kechaoda A27,₹975,4
30,"SAMSUNG Galaxy Z Flip3 5G (Cream, 128 GB)","₹45,999",4.3
31,"REDMI Note 12 5G (Frosted Green, 256 GB)","₹18,999",4.1
32,"POCO X5 Pro 5G (Yellow, 256 GB)","₹22,999",4.3
33,"SAMSUNG Galaxy F34 5G (Orchid Violet, 128 GB)","₹18,499",4.2
34,"OnePlus 11R 5G (Sonic Black, 256 GB)","₹43,999",4.5
35,"Infinix HOT 20 Play (Aurora Green, 64 GB)","₹7,499",4.4
36,"Infinix HOT 20 Play (Fantasy Purple, 64 GB)","₹7,499",4.4
37,"realme Narzo N53 (Feather Black, 128 GB)","₹10,868",4.2
38,MOTOROLA Moto A10E,"₹1,347",4.1
39,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","₹1,345",4.1
